Version;Produkter;Korning;LCP_s;TBT_ms;SpeedIndex_s
React;2000;5;0,364;0;0,323
React;2000;6;0,363;0;0,322
React;2000;7;0,364;0;0,322
React;2000;8;0,363;0;0,322
React;2000;9;0,363;0;0,322
React;2000;10;0,363;0;0,322
React;2000;11;0,364;0;0,323
React;2000;12;0,363;0;0,322
React;2000;13;0,365;0;0,323
React;2000;14;0,363;0;0,322
React;2000;15;0,364;0;0,323
React;2000;16;0,364;0;0,322
React;2000;17;0,364;0;0,322
React;2000;18;0,363;0;0,322
React;2000;19;0,363;0;0,322
React;2000;20;0,364;0;0,323
React;2000;21;0,363;0;0,322
React;2000;22;0,363;0;0,322
React;2000;23;0,364;0;0,323
React;2000;24;0,364;0;0,322
React;2000;25;0,364;0;0,322
React;2000;26;0,363;0;0,322
React;2000;27;0,363;0;0,322
React;2000;28;0,363;0;0,322
React;2000;29;0,363;0;0,322
React;2000;30;0,364;0;0,323
React;2000;31;0,363;0;0,322
React;2000;32;0,364;0;0,322
React;2000;33;0,363;0;0,322
React;2000;34;0,364;0;0,322
React;2000;35;0,363;0;0,322
React;2000;36;0,364;0;0,322
React;2000;37;0,363;0;0,322
React;2000;38;0,364;0;0,323
React;2000;39;0,363;0;0,322
React;2000;40;0,363;0;0,322
React;2000;41;0,363;0;0,322
React;2000;42;0,363;0;0,322
React;2000;43;0,363;0;0,322
React;2000;44;0,363;0;0,322
React;2000;45;0,365;0;0,323
React;2000;46;0,363;0;0,322
React;2000;47;0,364;0;0,323
React;2000;48;0,363;0;0,322
React;2000;49;0,363;0;0,322
React;2000;50;0,364;0;0,323
React;2000;51;0,366;0;0,324
React;2000;52;0,363;0;0,322
React;2000;53;0,363;0;0,322
React;2000;54;0,363;0;0,322
React;2000;55;0,363;0;0,322
React;2000;56;0,363;0;0,322
React;2000;57;0,364;0;0,322
React;2000;58;0,363;0;0,322
React;2000;59;0,364;0;0,323
React;2000;60;0,364;0;0,322
React;2000;61;0,363;0;0,322
React;2000;62;0,363;0;0,322
React;2000;63;0,363;0;0,322
React;2000;64;0,365;0;0,323
React;2000;65;0,363;0;0,322
React;2000;66;0,363;0;0,322
React;2000;67;0,363;0;0,322
React;2000;68;0,363;0;0,322
React;2000;69;0,363;0;0,322
React;2000;70;0,363;0;0,322
React;2000;71;0,363;0;0,322
React;2000;72;0,363;0;0,322
React;2000;73;0,363;0;0,322
React;2000;74;0,363;0;0,322
React;2000;75;0,363;0;0,322
React;2000;76;0,363;0;0,322
React;2000;77;0,363;0;0,322
React;2000;78;0,363;0;0,322
React;2000;79;0,363;0;0,322
React;2000;80;0,364;0;0,323
React;2000;81;0,364;0;0,322
React;2000;82;0,363;0;0,322
React;2000;83;0,364;0;0,322
React;2000;84;0,363;0;0,322
React;2000;85;0,364;0;0,323
React;2000;86;0,363;0;0,322
React;2000;87;0,365;0;0,323
React;2000;88;0,364;0;0,323
React;2000;89;0,363;0;0,322
React;2000;90;0,363;0;0,322
React;2000;91;0,363;0;0,322
React;2000;92;0,364;0;0,323
React;2000;93;0,363;0;0,322
React;2000;94;0,363;0;0,322
React;2000;95;0,363;0;0,322
React;2000;96;0,363;0;0,322
React;2000;97;0,363;0;0,322
React;2000;98;0,364;0;0,323
React;2000;99;0,363;0;0,322
React;2000;100;0,363;0;0,322
